Genes	NPDC1	PPARD	HMGCR	SMNDC1	MMP2	CD44	CDH3	DUSP11	STK10	PRCP	APBB2	RGS2	SLC37A4	SUPV3L1	PTPRK	FAM63A	DFFB	EDN1	RAE1	MTF2	HSPB1	CCNA1	FAM20B	LRRC41	IGHMBP2	COPB2	BID	CXCR4	DECR1	GTPBP8	MACF1	PIK3R4	HSD17B10	G3BP1	TSTA3	PSMD9	PAK1	WDTC1	KDM5B	CHMP4A	MNAT1	FBXL12	HEBP1	MBNL2	MAST2	FBXO21	GFPT1	CYCS	HMOX1	KIAA1279	GRB10	ME2	MALT1	AXIN1	CLSTN1	POLR1C	RPIA	EPHA3	WDR61	PNKP	P4HA2	TICAM1	SLC11A2	DYRK3	TRIB3	PKIG	ATP11B	STXBP2	DCK	CCNB1	DFFA	FUT1	RFX5	BDH1	RBM34	ZNF131	EXT1	PRPF4	TOPBP1	HLA.DMA	CYTH1	PPP1R13B	PTPN1	SMARCC1	HMG20B	ITGB1BP1	SYNE2	EPN2	POLG2	IGF2BP2	SQRDL	FOXJ3	NOSIP	CERK	CENPE	TPD52L2	PTK2B	RRP8	COPS7A	SDHB	RFC2	TLE1	SOX4	TSPAN3	DNAJB1	RPS5	GATA3	CSNK1E	PTPLAD1	DUSP22	SCYL3	PIK3C2B	DERA	DUSP3	SLC25A14	DDIT4	PGRMC1	LSM6	ECH1	GNAI2	MAPKAPK2	PUF60	SHC1	NUDT9	STX1A	PHKG2	STK25	LYN	HERPUD1	BRCA1	NGRN	DUSP6	KIAA1033	TGFB3	MAPKAPK5	GFOD1	CDC25B	INPP4B	PTPN12	ASCC3	EAPP	BLMH	NFATC4	LYRM1	TIMM9	UGDH	S100A4	MAP2K5	RNF167	LGMN	CNPY3	SLC5A6	USP6NL	RTN2	KIAA0907	TATDN2	TSKU	HN1L	PDLIM1	PYGL	SLC25A46	NUCB2	CLIC4	GADD45A	SQSTM1	TERF2IP	XPNPEP1	EED	ARHGEF12	FPGS	FOXO4	ABHD4	HOMER2	COL1A1	RAC2	SMC3	LYPLA1	DNMT1	HES1	EPB41L2	JMJD6	CTSL1	ALDOC	WIPF2	KIAA0528	SMARCD2	ACBD3	SYNGR3	GTF2A2	MCOLN1	SMAD3	NUP93	ZNF274	GDPD5	SUV39H1	EIF5	FAM57A	BIRC5	UBE3B	PLP2	ANKRD10	PLK1	FASTKD5	DDB2	POLR2K	GHR	ICMT	BLVRA	PTPRF	CXCL2	MKNK1	GNAI1	THAP11	EGFR	DNAJC15	MRPL19	TRIM13	IKBKB	SLC25A4	UBE2C	SLC27A3	ATP6V0B	SKP1	SESN1	TFDP1	CNOT4	DHRS7	IKZF1	ARHGAP1	PAFAH1B1	ZDHHC6	LSM5	MYLK	MAPKAPK3	DUSP4	YTHDF1	SPTLC2	FCHO1	LPGAT1	PAPD7	SH3BP5	TSEN2	PIK3CA	UFM1	USP14	CASP10	EZH2	APOE	CBR3	PCMT1	CCNB2	MSH6	ZNF451	GRB7	REEP5	MBNL1	FBXO11	FRS2	POLE2	DCUN1D4	TBPL1	ERBB3	ATP1B1	FAS	CREB1	ERBB2	PIN1	SYK	TRAK2	HSPD1	SLC1A4	CETN3	CDK1	CDKN1B	PLA2G15	MRPL12	GNPDA1	MOK	PTK2	CALU	TRIM2	IQGAP1	FOS	ADH5	MYCBP2	CREG1	RPA2	SLC2A6	DNM1	PAK6	HYOU1	PDGFA	ABCF1	KIAA0100	TIPARP	HS2ST1	USP7	CHEK1	NPEPL1	SMARCA4	CRELD2	YME1L1	TUBB6	ENOSF1	RALA	MUC1	AGL	NISCH	NFKB2	PSMG1	BCL2	ADI1	SCP2	HOOK2	ORC1	WDR7	BLCAP	SPDEF	STAT5B	ACAT2	HADH	RHEB	MBTPS1	DPH2	RPA1	HSD17B11	TIMM22	CDCA4	TOMM34	VPS28	PLEKHM1	TCERG1	CORO1A	PLSCR1	RAP1GAP	PCK2	FAIM	ELOVL6	PIK3C3	POLR2I	DHDDS	SACM1L	ELAC2	RAD9A	TOP2A	SNX6	IGF1R	PPP2R5A	TBX2	CPNE3	NIPSNAP1	ZNF589	RAB4A	ICAM1	SNX11	RAI14	PCM1	CAMSAP2	GNA11	FKBP14	PIP4K2B	BAMBI	HPRT1	CD40	ABCC5	SGCB	CAPN1	ABL1	FAM69A	PLCB3	LAGE3	TXNRD1	TNFRSF21	TSC22D3	CHIC2	PIH1D1	ABCF3	ARHGEF2	APPBP2	BACE2	RAB11FIP2	CCNE2	KIAA0355	KDM5A	ERO1L	ZNF395	NRIP1	CDC45	ZNF318	HDAC2	PRR7	DAXX	ACAA1	NT5DC2	EML3	MAN2B1	ATF1	CASC3	NCAPD2	TMEM109	CRYZ	METRN	SHB	PRSS23	ARID5B	PRAF2	ETS1	PMAIP1	SPTAN1	ARL4C	MAPK13	EIF4EBP1	PSMD10	C2CD2L	CDK7	PPARG	DSG2	NFIL3	NUP88	LIG1	FAH	TBXA2R	CHEK2	NIT1	HSPA4	PAN2	STAP2	TMEM97	SUZ12	RHOA	CDK5R1	TMCO1	TERT	PAX8	IKBKE	MRPS16	HIF1A	SMC1A	HSPA8	GRN	PRKCD	UBE2L6	TXNDC9	HTRA1	MYBL2	BHLHE40	PCCB	IPO13	MYO10	EDEM1	NOS3	KIAA0494	CLPX	ID2	SMC4	ATP2C1	RB1	NRAS	BZW2	AURKA	DHX29	PTPN6	PWP1	MAPK9	ASAH1	EGR1	HTATSF1	PSMD4	KCTD5	TBC1D9B	GPR56	CD58	CAB39	TNIP1	TM9SF2	HIST1H2BK	GLRX	MAP3K4	TIAM1	SRC	RAB21	KIF14	PDHX	ZW10	XBP1	MTA1	CDK2	CANT1	TFAP2A	PXMP2	BUB1B	NFKBIB	KIAA0196	RSU1	TIMELESS	SCAND1	DDX10	CCNH	TMED10	BPHL	PHF15	C2CD2	RPA3	RBM6	LOXL1	NR2F6	PSMF1	NFE2L2	RRP12	MRPS2	PIK3R3	UBQLN2	DNAJB2	NR3C1	HAT1	KLHL9	H2AFV	E2F2	WDR67	GAA	NOL3	SIRT3	BTK	CALM3	PFKL	TOMM70A	MSRA	COG2	TCEA2	TLR4	AURKB	MICALL1	HDGFRP3	DNTTIP2	OXCT1	PCBD1	GNB5	ATF6	MCM3	AKAP8L	ITFG1	RNPS1	SERPINE1	COL4A1	ISOC1	CHMP6	STUB1	SOCS2	UBE2A	ILK	BNIP3	NCOA3	NVL	ICAM3	DDX42	NENF	IL4R	TM9SF3	MTHFD2	GLI2	CBLB	TP53	IER3	BCL7B	CDK6	PAFAH1B3	RNH1	CEBPD	VAPB	CSK	NPRL2	PACSIN3	GRWD1	TSPAN6	CSRP1	SNAP25	SLC25A13	CCDC90A	CD320	ST6GALNAC2	ZFP36	FZD7	PXN	TGFBR2	COG4	MLEC	EXOSC4	GALE	SYPL1	PGAM1	RELB	HLA.DRA	C5	MYL9	EGF	ZMYM2	PLS1	CTNNAL1	OXSR1	CNDP2	FYN	SLC35A3	TRAM2	MEST	PLA2G4A	DRAP1	DLD	ARPP19	PAICS	NCK1	AKR7A2	SENP6	KLHL21	CDKN1A	NFKBIE	SCRN1	PRUNE	CAT	DUSP14	RPS6KA1	LSR	GPATCH8	PDS5A	CRK	FHL2	PRKCQ	SNX13	GSTZ1	PGM1	ZNF586	PAK4	P4HTM	RASA1	CTNND1	FGFR2	RRAGA	CDK19	CYB561	FAT1	SPR	HOXA10	MYCBP	NUDCD3	KIT	PHKA1	TWF2	NOLC1	PECR	ELAVL1	IARS2	GATA2	SLC35F2	BNIP3L	PPP2R3C	GPER	ZMIZ1	NUP85	MAP7	RFNG	CHERP	CFLAR	AKT1	EPRS	PEX11A	PRKCH	PPOX	ATP5S	EBNA1BP2	CIAPIN1	NR1H2	STXBP1	CIRBP	TCTN1	HERC6	STAT3	STAMBP	PLEKHJ1	ADAT1	TMEM50A	ABCB6	VPS72	CCDC86	CISD1	GTF2E2	USP22	SPP1	MPZL1	CCNF	LAP3	PPIC	PHGDH	PRKACA	RUVBL1	IL13RA1	ETFB	AKAP8	NMT1	ADCK3	GMNN	INPP1	TCTA	PRKX	RAB27A	IFNAR1	FDFT1	PTGS2	KIF2C	KIF20A	NNT	RAD51C	ADAM10	RNMT	SPEN	HOXA5	CPSF4	NUP133	ADO	GNA15	LIPA	CHP	KIAA0753	FIS1	ACD	UBE2J1	TCFL5	TIMP2	ANO10	DNMT3A	HK1	IL1B	CDC42	BAD	PPIE	TPM1	CD97	NCK2	BAG3	OXA1L	SLC35B1	CCND1	RRS1	TIMM17B	IGF2R	MBOAT7	RBM15B	PSIP1	ATF5	PRR15L	PSMD2	PYCR1	MFSD10	NET1	ACLY	TXNL4B	HMGCS1	KDELR2	KCNK1	HSPA1A	GLOD4	SCCPDH	BMP4	TLK2	ARID4B	DNM1L	ST3GAL5	CDK4	YKT6	NFKBIA	CCDC85B	PARP2	BRP44	IGFBP3	LRRC16A	TEX10	TSPAN4	PPP2R5E	PAF1	AMDHD2	FZD1	CEBPZ	TRAPPC3	NARFL	BECN1	SORBS3	LGALS8	TMEM2	CSNK2A2	DDR1	ATP6V1D	IDE	MELK	SPAG7	DCTD	MAP4K4	DMTF1	SFN	ACOT9	NFATC3	SNCA	FEZ2	ALDH7A1	VDAC1	UBE3C	CASP7	TJP1	TRIB1	SPRED2	RALGDS	CCDC92	CDC20	FOXO3	CLTB	ANXA7	ITGAE	CCP110	ADRB2	GABPB1	MLLT11	UTP14A	PROS1	TBP	IFRD2	PSMB8	FGFR4	CTSD	RRP1B	UBR7	PSME2	SCARB1	CHN1	CDKN2A	TP53BP1	VAT1	PMM2	WRB	ENOPH1	ST7	DNAJB6	CASP2	TCEAL4	TES	PRKAG2	MYC	GSTM2	KAT6A	JUN	ETV1	TMEM5	BIRC2	KDM3A	KEAP1	POP4	B3GNT1	CCNA2	CAST	DAG1	PLOD3	CGRRF1	EPHB2	CEP57	CSNK1A1	WASF3	PSMB10	ARFIP2	CRKL	NUP62	TRAPPC6A	LRP10	TXLNA	DYNLT3	RAB31	LAMA3	SLC35A1	CASK	SPAG4	ALDOA	RFC5	ABHD6	DENND2D	NOTCH1	BAX	RALB	SKIV2L	ECD	LRPAP1	PSRC1	VAV3	ALAS1	ATG3	KIF5C	KLHDC2	KTN1	CTTN	GOLT1B	CCL2	PHKB	MAPK1IP1L	FOSL1	NPC1	ITGB5	EVL	TESK1	FBXO7	MMP1	FSD1	COASY	CCND3	CLTC	STAT1	INSIG1	MAT2A	XPO7	AARS	TMEM110	STX4	IKBKAP	TRAP1	USP1	HIST2H2BE	ATMIN	SATB1	POLB	POLD4	CRTAP	SSBP2	TARBP1	KAT6B	LPAR2	SOX2	TP53BP2	GPC1	S100A13	STMN1	SNX7	VGLL4	HEATR1	PSME1	NSDHL	NUSAP1	RPP38	CHAC1	HMGA2	MVP	EIF4G1	MTERFD1	INTS3	EBP	TOR1A	HDAC6	GADD45B	MAMLD1	PNP	PLSCR3	CASP3	PIGB	WFS1	MEF2C	ARNT2	CBR1	LBR	PARP1	RPL39L	PTPRC	PDIA5	COG7	CDC25A	RBKS	MTFR1
veliparib	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP466722	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	-4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	-4	0	-4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	-4	0	0	-4	0	0	0	0	4	0	0	0	0	0	0
GSK-3-inhibitor-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	-5	0	0	0	0	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5
epigallocatechin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
